WAVLEN_MCRN,TOTAL_RAD,ALBEDO,WVP_COL,GRND_RFLT
0.893,0.00029614,0,0.2,
0.894,0.00030155,0,0.2,
0.895,0.00028722,0,0.2,
0.896,0.00028744,0,0.2,
0.897,0.00026848,0,0.2,
0.898,0.00027682,0,0.2,
0.899,0.00025143,0,0.2,
0.9,0.00027159,0,0.2,
0.901,0.00024954,0,0.2,
0.902,0.00025353,0,0.2,
0.903,0.00026254,0,0.2,
0.904,0.00028691,0,0.2,
0.905,0.00028238,0,0.2,
0.906,0.00027062,0,0.2,
0.907,0.00025672,0,0.2,
0.908,0.00025214,0,0.2,
0.909,0.00025252,0,0.2,
0.91,0.00024651,0,0.2,
0.911,0.00025353,0,0.2,
0.912,0.00025129,0,0.2,
0.913,0.00025284,0,0.2,
0.914,0.00024722,0,0.2,
0.915,0.00025222,0,0.2,
0.916,0.00023827,0,0.2,
0.917,0.00025392,0,0.2,
0.918,0.00023532,0,0.2,
0.919,0.00025411,0,0.2,
0.92,0.00025092,0,0.2,
0.921,0.00025073,0,0.2,
0.922,0.00024154,0,0.2,
0.923,0.00023752,0,0.2,
0.924,0.00024148,0,0.2,
0.925,0.00024025,0,0.2,
0.926,0.00023495,0,0.2,
0.927,0.00024991,0,0.2,
0.928,0.00023031,0,0.2,
0.929,0.00022321,0,0.2,
0.93,0.00020573,0,0.2,
0.931,0.00019922,0,0.2,
0.932,0.00018167,0,0.2,
0.933,0.00017305,0,0.2,
0.934,0.0001546,0,0.2,
0.935,0.00016698,0,0.2,
0.936,0.00014716,0,0.2,
0.937,0.00015502,0,0.2,
0.938,0.00016143,0,0.2,
0.939,0.00019152,0,0.2,
0.94,0.00020114,0,0.2,
0.941,0.00018099,0,0.2,
0.942,0.00018355,0,0.2,
0.943,0.00016648,0,0.2,
0.944,0.00016403,0,0.2,
0.945,0.00018407,0,0.2,
0.946,0.0001523,0,0.2,
0.947,0.00018392,0,0.2,
0.948,0.00016198,0,0.2,
0.949,0.0002001,0,0.2,
0.95,0.00014392,0,0.2,
0.951,0.0002025,0,0.2,
0.952,0.00016295,0,0.2,
0.953,0.00017468,0,0.2,
0.954,0.00018272,0,0.2,
0.955,0.0001668,0,0.2,
0.956,0.00016694,0,0.2,
0.957,0.00016213,0,0.2,
0.958,0.00018334,0,0.2,
0.959,0.00017526,0,0.2,
0.96,0.00018163,0,0.2,
0.961,0.00018095,0,0.2,
0.962,0.00017918,0,0.2,
0.963,0.00018377,0,0.2,
0.964,0.00018055,0,0.2,
0.965,0.00018454,0,0.2,
0.966,0.00017986,0,0.2,
0.967,0.00018544,0,0.2,
0.968,0.00019682,0,0.2,
0.969,0.00020189,0,0.2,
0.97,0.00019785,0,0.2,
0.971,0.00020244,0,0.2,
0.972,0.00019976,0,0.2,
0.973,0.00019122,0,0.2,
0.974,0.00018524,0,0.2,
0.975,0.00018557,0,0.2,
0.976,0.0001858,0,0.2,
0.977,0.00018853,0,0.2,
0.978,0.00018888,0,0.2,
0.979,0.00018704,0,0.2,
0.98,0.00018404,0,0.2,
0.981,0.00019593,0,0.2,
0.982,0.00019376,0,0.2,
0.983,0.00018954,0,0.2,
0.984,0.00019447,0,0.2,
0.985,0.00018974,0,0.2,
0.986,0.00019401,0,0.2,
0.987,0.0001924,0,0.2,
0.988,0.0001916,0,0.2,
0.989,0.0001895,0,0.2,
0.99,0.00018883,0,0.2,
0.991,0.0001908,0,0.2,
0.992,0.0001899,0,0.2,
0.993,0.00018857,0,0.2,
0.994,0.00018928,0,0.2,
0.995,0.00018805,0,0.2,
0.996,0.00018728,0,0.2,
0.997,0.00018692,0,0.2,
0.998,0.000186,0,0.2,
0.999,0.00018474,0,0.2,
1.0,0.00018312,0,0.2,
1.001,0.00018386,0,0.2,
1.002,0.00018206,0,0.2,
1.003,0.00018066,0,0.2,
1.004,0.00017801,0,0.2,
1.005,0.00016703,0,0.2,
1.006,0.00017394,0,0.2,
1.007,0.00017753,0,0.2,
1.008,0.00017751,0,0.2,
1.009,0.00017611,0,0.2,
1.01,0.00017586,0,0.2,
1.011,0.0001752,0,0.2,
1.012,0.00017436,0,0.2,
1.013,0.0001734,0,0.2,
1.014,0.00017344,0,0.2,
1.015,0.00017028,0,0.2,
1.016,0.00017049,0,0.2,
1.017,0.00016886,0,0.2,
1.018,0.00017008,0,0.2,
1.019,0.00016532,0,0.2,
1.02,0.00016643,0,0.2,
1.021,0.00016719,0,0.2,
1.022,0.00016374,0,0.2,
1.023,0.0001666,0,0.2,
1.024,0.00016507,0,0.2,
1.025,0.00016499,0,0.2,
1.026,0.00016454,0,0.2,
1.027,0.00016339,0,0.2,
1.028,0.00016327,0,0.2,
1.029,0.00016032,0,0.2,
1.03,0.00016146,0,0.2,
1.031,0.00016045,0,0.2,
1.032,0.00016009,0,0.2,
1.033,0.00015625,0,0.2,
1.034,0.00015757,0,0.2,
1.035,0.00015567,0,0.2,
1.036,0.00015735,0,0.2,
1.037,0.00015462,0,0.2,
1.038,0.00015368,0,0.2,
1.039,0.00015509,0,0.2,
1.04,0.00015261,0,0.2,
1.041,0.00015331,0,0.2,
1.042,0.000153,0,0.2,
1.043,0.00015069,0,0.2,
1.044,0.00015152,0,0.2,
1.045,0.00015037,0,0.2,
1.046,0.00014608,0,0.2,
1.047,0.00014797,0,0.2,
1.048,0.00014903,0,0.2,
1.049,0.0001478,0,0.2,
1.05,0.00014652,0,0.2,
1.051,0.0001463,0,0.2,
1.052,0.00014505,0,0.2,
1.053,0.00014422,0,0.2,
1.054,0.00014331,0,0.2,
1.055,0.00014335,0,0.2,
1.056,0.0001425,0,0.2,
1.057,0.00014167,0,0.2,
1.058,0.00013977,0,0.2,
1.059,0.00013505,0,0.2,
1.06,0.00013838,0,0.2,
1.061,0.00013477,0,0.2,
1.062,0.00013699,0,0.2,
1.063,0.00013434,0,0.2,
1.064,0.00013582,0,0.2,
1.065,0.00013505,0,0.2,
1.066,0.00013185,0,0.2,
1.067,0.00013248,0,0.2,
1.068,0.00013218,0,0.2,
1.069,0.00012521,0,0.2,
1.07,0.00012953,0,0.2,
1.071,0.00013132,0,0.2,
1.072,0.00013167,0,0.2,
1.073,0.00012755,0,0.2,
1.074,0.00013187,0,0.2,
1.075,0.00012636,0,0.2,
1.076,0.00013024,0,0.2,
1.077,0.00012926,0,0.2,
1.078,0.0001292,0,0.2,
1.079,0.00012543,0,0.2,
1.08,0.00012756,0,0.2,
1.081,0.00012434,0,0.2,
1.082,0.00012399,0,0.2,
1.083,0.0001211,0,0.2,
1.084,0.00012408,0,0.2,
1.085,0.00012468,0,0.2,
1.086,0.00012186,0,0.2,
1.087,0.00011747,0,0.2,
1.088,0.00012324,0,0.2,
1.089,0.00011931,0,0.2,
1.09,0.00011941,0,0.2,
1.091,0.00012215,0,0.2,
1.092,0.00011996,0,0.2,
1.093,0.00011368,0,0.2,
1.094,0.00010838,0,0.2,
1.095,0.00011313,0,0.2,
1.096,0.00011136,0,0.2,
1.097,0.00011498,0,0.2,
1.098,0.00010966,0,0.2,
1.099,0.00011125,0,0.2,
1.1,0.0001098,0,0.2,
1.101,0.00011002,0,0.2,
1.102,0.00010517,0,0.2,
1.103,0.00010714,0,0.2,
1.104,0.00010701,0,0.2,
1.105,0.00010934,0,0.2,
1.106,0.00010109,0,0.2,
1.107,0.00010663,0,0.2,
1.108,0.0001019,0,0.2,
1.109,0.00010083,0,0.2,
1.11,0.00010626,0,0.2,
1.111,9.1752e-05,0,0.2,
1.112,9.9252e-05,0,0.2,
1.113,8.5749e-05,0,0.2,
1.114,8.9461e-05,0,0.2,
1.115,8.0218e-05,0,0.2,
1.116,7.8972e-05,0,0.2,
1.117,6.3305e-05,0,0.2,
1.118,8.0401e-05,0,0.2,
1.119,6.4152e-05,0,0.2,
1.12,7.0909e-05,0,0.2,
1.121,7.7486e-05,0,0.2,
1.122,6.0043e-05,0,0.2,
1.123,6.838e-05,0,0.2,
1.124,6.1539e-05,0,0.2,
1.125,6.9257e-05,0,0.2,
1.126,5.2922e-05,0,0.2,
1.127,7.2615e-05,0,0.2,
1.128,6.5019e-05,0,0.2,
1.129,6.4808e-05,0,0.2,
1.13,5.8208e-05,0,0.2,
1.131,8.7377e-05,0,0.2,
1.132,7.8832e-05,0,0.2,
1.133,6.96e-05,0,0.2,
1.134,4.9901e-05,0,0.2,
1.135,3.5604e-05,0,0.2,
1.136,6.5554e-05,0,0.2,
1.137,8.6142e-05,0,0.2,
1.138,7.3871e-05,0,0.2,
1.139,8.0662e-05,0,0.2,
1.14,7.7424e-05,0,0.2,
1.141,7.1958e-05,0,0.2,
1.142,7.417e-05,0,0.2,
1.143,8.3689e-05,0,0.2,
1.144,5.8792e-05,0,0.2,
1.145,6.7211e-05,0,0.2,
1.146,6.9588e-05,0,0.2,
1.147,5.3844e-05,0,0.2,
1.148,7.717e-05,0,0.2,
1.149,7.2663e-05,0,0.2,
1.15,6.0567e-05,0,0.2,
1.151,7.0292e-05,0,0.2,
1.152,7.5363e-05,0,0.2,
1.153,6.9119e-05,0,0.2,
