Frequency (CM-1),Wavelength (Mm),Solar Irradiance (W CM-2 CM-1),Solar Irradiance (W M-2  uM-1)
49557.0,0.20178784026474564,2.072e-09,5.088617027928
49556.0,0.20179191218015982,2.231e-09,5.478883410416
49555.0,0.20179598425991324,1.939e-09,4.761598470475
49554.0,0.20180005650401583,1.562e-09,3.835645506792
49553.0,0.20180412891247754,1.553e-09,3.813391203377
49552.0,0.20180820148530837,1.642e-09,4.031767955968
49551.0,0.2018122742225182,1.855e-09,4.5545844698549995
49550.0,0.20181634712411706,2.104e-09,5.16574606
49549.0,0.20182042019011484,2.381e-09,5.845601197781
49548.0,0.20182449342052153,2.515e-09,6.17433582456
49547.0,0.20182856681534705,2.674e-09,6.564416528866
49546.0,0.20183264037460139,2.682e-09,6.583790003112
49545.0,0.20183671409829448,2.712e-09,6.6571654518
49544.0,0.2018407879864363,2.559e-09,6.281341708224
49543.0,0.2018448620390368,2.486e-09,6.101908998613999
49542.0,0.20184893625610592,2.158e-09,5.296616270712001
49541.0,0.20185301063765365,2.233e-09,5.480475750673
49540.0,0.20185708518368994,2.458e-09,6.0324521128
49539.0,0.20186115989422476,2.752e-09,6.753717657792
49538.0,0.20186523476926804,2.656e-09,6.517859707264
49537.0,0.20186930980882975,2.713e-09,6.657469683097
49536.0,0.2018733850129199,2.573e-09,6.313666756608001
49535.0,0.2018774603815484,2.587e-09,6.3477638740749995
49534.0,0.20188153591472524,2.626e-09,6.443198651655999
49533.0,0.20188561161246038,2.978e-09,7.306576869042
49532.0,0.2018896874747638,3.291e-09,8.074202007983999
49531.0,0.20189376350164542,3.246e-09,7.963476593406001
49530.0,0.20189783969311528,3.032e-09,7.438165768799999
49529.0,0.2019019160491833,3.064e-09,7.516365320824001
49528.0,0.20190599256985947,2.88e-09,7.06470561792
49527.0,0.20191006925515376,2.776e-09,6.809316271704
49526.0,0.20191414610507613,3.068e-09,7.525266105968001
49525.0,0.20191822311963656,3.362e-09,8.24606355125
49524.0,0.201922300298845,3.515e-09,8.62098241464
49523.0,0.20192637764271146,3.781e-09,9.273006587149
49522.0,0.2019304551512459,3.633e-09,8.909672682372001
49521.0,0.2019345328244583,2.989e-09,7.330012699149
